10,1,0.98,0.98,0.96
11,1,0.99,0.98,0.97
12,1,0.99,0.98,0.97
13,1,0.99,0.98,0.97
14,1,0.99,0.98,0.97
15,1,0.99,0.99,0.98
16,1,0.99,0.99,0.98
17,1,0.99,0.99,0.98
18,1,0.99,0.99,0.98
19,1,0.99,0.99,0.98
20,1,0.99,0.99,0.98
21,2,0.98,0.97,0.96
22,2,0.98,0.97,0.96
23,2,0.98,0.98,0.96
24,2,0.98,0.98,0.97
25,2,0.98,0.98,0.97
26,2,0.98,0.98,0.97
27,2,0.98,0.98,0.97
28,2,0.99,0.98,0.98
29,2,0.99,0.98,0.98
30,2,0.99,0.98,0.98
31,2,0.99,0.98,0.98
32,2,0.99,0.98,0.98
33,2,0.99,0.98,0.98
34,2,0.99,0.98,0.98
35,2,0.99,0.98,0.98
36,2,0.99,0.99,0.98
37,2,0.99,0.99,0.98
38,2,0.99,0.99,0.98
39,2,0.99,0.99,0.98
40,2,0.99,0.99,0.98
41,2,0.99,0.99,0.98
42,2,0.99,0.99,0.98
43,2,0.99,0.99,0.98
44,2,0.99,0.99,0.98
45,2,0.99,0.99,0.98
46,2,0.99,0.99,0.98
47,2,0.99,0.99,0.98
48,2,0.99,0.99,0.98
49,2,0.99,0.99,0.98
